policy_id,customer_id,product_type,state,premium_amount,coverage_amount,policy_start_date,policy_status,agent_id,created_at
POL-000028,CUST-4681,Term Life,NY,1756.62,250000,2022-03-10,Lapsed,AGT-107,2026-04-19T06:51:59.622906
POL-000029,CUST-2163,Term Life,WI,1221.81,100000,2021-06-25,Cancelled,AGT-172,2026-04-19T06:51:59.622921
POL-000030,CUST-9423,Whole Life,MT,1464.54,1000000,2023-02-24,Lapsed,AGT-652,2026-04-19T06:51:59.622938
POL-000031,CUST-3167,Universal Life,TN,1290.69,1000000,2023-09-07,Pending,AGT-294,2026-04-19T06:51:59.622955
POL-000032,CUST-2545,Term Life,GA,3329.02,500000,2025-03-05,Pending,AGT-520,2026-04-19T06:51:59.622970
POL-000033,CUST-8651,Term Life,DE,3399.49,100000,2022-04-13,Active,AGT-512,2026-04-19T06:51:59.622985
POL-000034,CUST-6559,Term Life,PA,1318.42,250000,2025-11-24,Pending,AGT-243,2026-04-19T06:51:59.623000
POL-000035,CUST-7912,Whole Life,NC,1464.87,250000,2021-08-27,Active,AGT-553,2026-04-19T06:51:59.623015
POL-000036,CUST-2604,Term Life,FM,3295.51,100000,2025-10-28,Active,AGT-871,2026-04-19T06:51:59.623029
POL-000037,CUST-4872,Whole Life,PR,2091.43,1000000,2024-07-05,Lapsed,AGT-985,2026-04-19T06:51:59.623043
POL-000038,CUST-7570,Term Life,ME,906.72,100000,2023-09-29,Pending,AGT-371,2026-04-19T06:51:59.623057
POL-000039,CUST-8454,Annuity,AZ,2172.74,1000000,2025-03-30,Lapsed,AGT-294,2026-04-19T06:51:59.623072
POL-000040,CUST-5861,Whole Life,NV,4846.68,100000,2023-01-24,Cancelled,AGT-158,2026-04-19T06:51:59.623086
POL-000041,CUST-1821,Universal Life,NY,2563.97,250000,2021-11-23,Active,AGT-620,2026-04-19T06:51:59.623100
POL-000042,CUST-2312,Whole Life,VT,435.75,100000,2026-02-17,Lapsed,AGT-513,2026-04-19T06:51:59.623115
POL-000043,CUST-2964,Whole Life,TX,2936.7,100000,2025-12-14,Active,AGT-529,2026-04-19T06:51:59.623130
POL-000044,CUST-9565,Annuity,NH,4680.06,250000,2021-04-27,Cancelled,AGT-344,2026-04-19T06:51:59.623145
POL-000045,CUST-5351,Universal Life,MS,741.3,500000,2021-07-28,Pending,AGT-423,2026-04-19T06:51:59.623159
POL-000046,CUST-2188,Term Life,VI,2345.6,100000,2021-05-26,Active,AGT-650,2026-04-19T06:51:59.623173
POL-000047,CUST-4492,Annuity,LA,749.04,500000,2023-12-12,Active,AGT-350,2026-04-19T06:51:59.623188
POL-000048,CUST-7054,Annuity,AZ,872.96,500000,2021-07-10,Active,AGT-783,2026-04-19T06:51:59.623202
POL-000049,CUST-5905,Term Life,WV,4700.76,250000,2024-09-26,Cancelled,AGT-218,2026-04-19T06:51:59.623216
POL-000050,CUST-2753,Whole Life,VT,1434.51,250000,2023-12-08,Cancelled,AGT-308,2026-04-19T06:51:59.623230
POL-000051,CUST-5325,Universal Life,VA,1330.49,100000,2021-08-21,Active,AGT-749,2026-04-19T06:51:59.623245
POL-000052,CUST-7939,Annuity,RI,316.03,500000,2023-07-20,Lapsed,AGT-752,2026-04-19T06:51:59.623258
POL-000053,CUST-5291,Whole Life,CO,3732.03,1000000,2023-01-15,Active,AGT-214,2026-04-19T06:51:59.623272
POL-000054,CUST-2232,Whole Life,NH,2773.39,500000,2024-06-28,Lapsed,AGT-540,2026-04-19T06:51:59.623287
POL-000055,CUST-3088,Term Life,MS,1610.47,100000,2022-11-21,Cancelled,AGT-315,2026-04-19T06:51:59.623301
POL-000056,CUST-5088,Term Life,NE,1833.03,1000000,2022-02-02,Lapsed,AGT-342,2026-04-19T06:51:59.623316
POL-000057,CUST-3662,Whole Life,PW,4418.94,100000,2025-09-14,Lapsed,AGT-854,2026-04-19T06:51:59.623331
POL-000058,CUST-6442,Universal Life,DE,4030.95,250000,2023-02-10,Cancelled,AGT-263,2026-04-19T06:51:59.623345
POL-000059,CUST-2771,Universal Life,TX,4373.62,1000000,2024-10-10,Lapsed,AGT-304,2026-04-19T06:51:59.623360
POL-000060,CUST-8541,Annuity,MD,1595.44,250000,2021-05-20,Lapsed,AGT-124,2026-04-19T06:51:59.623375
POL-000061,CUST-4164,Universal Life,RI,1708.48,100000,2022-07-28,Cancelled,AGT-459,2026-04-19T06:51:59.623391
POL-000062,CUST-9346,Universal Life,ID,3429.64,500000,2023-11-22,Active,AGT-218,2026-04-19T06:51:59.623405
POL-000063,CUST-5279,Whole Life,IN,2944.89,500000,2025-06-17,Active,AGT-211,2026-04-19T06:51:59.623419
POL-000064,CUST-8119,Annuity,TX,3669.87,500000,2023-08-21,Pending,AGT-720,2026-04-19T06:51:59.623433
POL-000065,CUST-9379,Term Life,PW,1987.46,250000,2025-05-28,Cancelled,AGT-145,2026-04-19T06:51:59.623450
POL-000066,CUST-8144,Term Life,AK,2647.61,250000,2021-08-02,Cancelled,AGT-541,2026-04-19T06:51:59.623465
POL-000067,CUST-2146,Annuity,NE,3153.46,100000,2023-04-14,Cancelled,AGT-619,2026-04-19T06:51:59.623479
POL-000068,CUST-6067,Universal Life,MO,1698.3,500000,2025-04-29,Lapsed,AGT-296,2026-04-19T06:51:59.623495
POL-000069,CUST-7888,Universal Life,TN,3418.86,250000,2025-08-25,Cancelled,AGT-515,2026-04-19T06:51:59.623510
POL-000070,CUST-9977,Term Life,ME,1588.99,250000,2025-01-30,Pending,AGT-904,2026-04-19T06:51:59.623527
POL-000071,CUST-6279,Universal Life,VT,2264.75,250000,2026-03-02,Pending,AGT-912,2026-04-19T06:51:59.623541
POL-000072,CUST-3780,Term Life,OH,1490.55,500000,2022-01-04,Active,AGT-938,2026-04-19T06:51:59.623556
POL-000073,CUST-4848,Annuity,PW,1200.74,250000,2025-07-14,Lapsed,AGT-125,2026-04-19T06:51:59.623572
POL-000074,CUST-1757,Whole Life,NV,4921.29,100000,2026-01-20,Pending,AGT-524,2026-04-19T06:51:59.623588
POL-000075,CUST-4185,Universal Life,NV,2522.45,250000,2022-09-15,Lapsed,AGT-771,2026-04-19T06:51:59.623604
POL-000076,CUST-1090,Term Life,AS,3914.26,250000,2024-02-21,Lapsed,AGT-923,2026-04-19T06:51:59.623619
POL-000077,CUST-9486,Universal Life,TN,346.07,250000,2022-03-25,Active,AGT-567,2026-04-19T06:51:59.623635
POL-000078,CUST-3184,Universal Life,DE,3371.13,500000,2023-05-16,Pending,AGT-727,2026-04-19T06:51:59.623650
POL-000079,CUST-9270,Universal Life,WY,4169.79,1000000,2022-02-14,Lapsed,AGT-861,2026-04-19T06:51:59.623670
POL-000080,CUST-8777,Universal Life,LA,1370.04,250000,2025-06-13,Cancelled,AGT-884,2026-04-19T06:51:59.623686
POL-000081,CUST-9540,Universal Life,VA,3171.07,500000,2021-06-15,Pending,AGT-179,2026-04-19T06:51:59.623702
POL-000082,CUST-5681,Whole Life,WI,1431.4,500000,2021-10-19,Active,AGT-241,2026-04-19T06:51:59.623717
POL-000083,CUST-3471,Whole Life,OH,1976.87,250000,2023-09-05,Lapsed,AGT-165,2026-04-19T06:51:59.623736
POL-000084,CUST-7797,Universal Life,SD,1721.32,1000000,2025-06-28,Pending,AGT-163,2026-04-19T06:51:59.623751
POL-000085,CUST-4388,Universal Life,CO,2008.44,100000,2025-03-20,Pending,AGT-588,2026-04-19T06:51:59.623766
POL-000086,CUST-1096,Annuity,WI,1563.2,1000000,2025-05-29,Pending,AGT-651,2026-04-19T06:51:59.623782
POL-000087,CUST-9947,Whole Life,WV,2492.32,500000,2024-09-13,Pending,AGT-597,2026-04-19T06:51:59.623799
POL-000088,CUST-1475,Universal Life,VT,1747.03,1000000,2022-02-05,Lapsed,AGT-960,2026-04-19T06:51:59.623814
POL-000089,CUST-8657,Whole Life,IN,4905.54,100000,2024-12-05,Pending,AGT-706,2026-04-19T06:51:59.623830
POL-000090,CUST-1444,Term Life,WA,3249.47,250000,2022-05-26,Pending,AGT-286,2026-04-19T06:51:59.623845
POL-000091,CUST-1823,Annuity,ND,1957.61,250000,2025-09-23,Pending,AGT-434,2026-04-19T06:51:59.623860
POL-000092,CUST-6529,Universal Life,MP,1463.46,1000000,2024-02-07,Cancelled,AGT-954,2026-04-19T06:51:59.623875
POL-000093,CUST-2341,Universal Life,PW,194.98,100000,2025-02-01,Cancelled,AGT-329,2026-04-19T06:51:59.623890
POL-000094,CUST-2124,Term Life,PW,3795.74,250000,2023-12-21,Lapsed,AGT-959,2026-04-19T06:51:59.623905
POL-000095,CUST-1333,Whole Life,NE,1268.87,1000000,2021-09-30,Active,AGT-677,2026-04-19T06:51:59.623921
POL-000096,CUST-4571,Universal Life,WV,3527.38,500000,2024-03-30,Lapsed,AGT-720,2026-04-19T06:51:59.623939
POL-000097,CUST-2876,Whole Life,AL,4827.13,100000,2022-12-22,Active,AGT-419,2026-04-19T06:51:59.623957
POL-000098,CUST-7149,Universal Life,CT,4713.21,250000,2022-03-27,Active,AGT-706,2026-04-19T06:51:59.623979
POL-000099,CUST-4978,Term Life,PR,3516.25,500000,2025-04-30,Active,AGT-915,2026-04-19T06:51:59.623995
POL-000100,CUST-1672,Annuity,MT,2710.45,500000,2025-11-10,Active,AGT-618,2026-04-19T06:51:59.624061
POL-000101,CUST-6590,Term Life,VA,4262.92,1000000,2024-07-10,Active,AGT-543,2026-04-19T06:51:59.624087
POL-000102,CUST-6934,Universal Life,NV,3565.81,1000000,2025-01-09,Lapsed,AGT-851,2026-04-19T06:51:59.624105
POL-000103,CUST-9548,Annuity,MA,3117.97,1000000,2024-09-15,Pending,AGT-546,2026-04-19T06:51:59.624121
POL-000104,CUST-5397,Annuity,WY,4273.39,100000,2023-02-13,Cancelled,AGT-561,2026-04-19T06:51:59.624146
POL-000105,CUST-4995,Universal Life,VI,2892.26,1000000,2026-01-18,Cancelled,AGT-129,2026-04-19T06:51:59.624166
POL-000106,CUST-9098,Annuity,NH,991.02,250000,2024-02-16,Cancelled,AGT-916,2026-04-19T06:51:59.624184
POL-000107,CUST-5232,Annuity,NH,1470.33,500000,2022-03-17,Active,AGT-629,2026-04-19T06:51:59.624199
POL-000108,CUST-4130,Term Life,NC,1282.64,1000000,2025-08-06,Pending,AGT-668,2026-04-19T06:51:59.624215
POL-000109,CUST-4937,Universal Life,NV,3264.92,1000000,2022-06-24,Pending,AGT-911,2026-04-19T06:51:59.624237
POL-000110,CUST-1282,Term Life,NY,1541.75,1000000,2025-05-23,Lapsed,AGT-413,2026-04-19T06:51:59.624294
POL-000111,CUST-7046,Universal Life,HI,2812.02,500000,2022-10-13,Pending,AGT-863,2026-04-19T06:51:59.624336
POL-000112,CUST-6419,Annuity,WI,3543.99,500000,2025-09-25,Cancelled,AGT-357,2026-04-19T06:51:59.624365
POL-000113,CUST-4777,Term Life,DC,3634.29,500000,2026-03-30,Active,AGT-860,2026-04-19T06:51:59.624401
POL-000114,CUST-9779,Whole Life,IL,1038.55,1000000,2023-02-24,Cancelled,AGT-841,2026-04-19T06:51:59.624482
POL-000115,CUST-9595,Annuity,MP,4904.5,250000,2024-09-07,Cancelled,AGT-332,2026-04-19T06:51:59.624516
POL-000116,CUST-6912,Whole Life,CA,1581.11,250000,2023-12-16,Cancelled,AGT-146,2026-04-19T06:51:59.624543
POL-000117,CUST-1893,Annuity,ID,3517.35,250000,2025-04-18,Pending,AGT-205,2026-04-19T06:51:59.624572
POL-000118,CUST-1200,Annuity,RI,2400.05,1000000,2024-04-29,Cancelled,AGT-288,2026-04-19T06:51:59.624599
POL-000119,CUST-1841,Annuity,NM,4711.21,1000000,2024-08-31,Active,AGT-941,2026-04-19T06:51:59.624624
POL-000120,CUST-2070,Universal Life,MP,2509.56,100000,2022-07-12,Lapsed,AGT-252,2026-04-19T06:51:59.624646
POL-000121,CUST-5978,Term Life,PR,4970.2,100000,2022-10-10,Pending,AGT-720,2026-04-19T06:51:59.624672
POL-000122,CUST-4697,Universal Life,NC,2307.52,1000000,2024-09-17,Cancelled,AGT-980,2026-04-19T06:51:59.624698
POL-000123,CUST-8025,Annuity,SD,2886.28,100000,2024-01-01,Active,AGT-881,2026-04-19T06:51:59.624725
POL-000124,CUST-4404,Whole Life,NH,1396.77,100000,2022-10-31,Lapsed,AGT-345,2026-04-19T06:51:59.624762
POL-000125,CUST-3847,Term Life,CO,867.01,1000000,2021-06-27,Pending,AGT-805,2026-04-19T06:51:59.624789
POL-000126,CUST-8699,Annuity,SD,259.94,500000,2024-11-15,Cancelled,AGT-819,2026-04-19T06:51:59.624815
POL-000127,CUST-8438,Term Life,WA,3468.19,500000,2024-11-08,Lapsed,AGT-535,2026-04-19T06:51:59.624845
POL-000128,CUST-2880,Whole Life,NE,3273.41,500000,2023-05-18,Lapsed,AGT-173,2026-04-19T06:51:59.624871
POL-000129,CUST-1977,Whole Life,CO,3983.88,500000,2023-08-14,Pending,AGT-227,2026-04-19T06:51:59.624895
POL-000130,CUST-8679,Annuity,OK,3528.7,500000,2022-05-28,Pending,AGT-548,2026-04-19T06:51:59.624921
POL-000131,CUST-2317,Term Life,MN,4458.17,500000,2025-01-24,Cancelled,AGT-126,2026-04-19T06:51:59.624956
POL-000132,CUST-2496,Whole Life,IN,4813.36,100000,2021-12-11,Cancelled,AGT-690,2026-04-19T06:51:59.624983
POL-000133,CUST-1659,Whole Life,VI,2405.45,1000000,2022-05-03,Cancelled,AGT-285,2026-04-19T06:51:59.625011
POL-000134,CUST-8141,Universal Life,MO,4848.37,1000000,2022-12-09,Cancelled,AGT-518,2026-04-19T06:51:59.625036
POL-000135,CUST-6460,Annuity,MI,3383.65,250000,2021-12-25,Cancelled,AGT-521,2026-04-19T06:51:59.625060
POL-000136,CUST-9117,Annuity,UT,3346.66,1000000,2025-12-04,Active,AGT-565,2026-04-19T06:51:59.625083
POL-000137,CUST-2442,Annuity,HI,1336.75,100000,2023-07-23,Pending,AGT-985,2026-04-19T06:51:59.625116
POL-000138,CUST-9431,Term Life,IA,3322.54,1000000,2025-07-22,Pending,AGT-155,2026-04-19T06:51:59.625142
POL-000139,CUST-4073,Annuity,UT,3150.91,1000000,2022-08-24,Pending,AGT-878,2026-04-19T06:51:59.625167
POL-000140,CUST-1845,Whole Life,PR,1408.58,250000,2022-02-14,Cancelled,AGT-548,2026-04-19T06:51:59.625203
POL-000141,CUST-8941,Term Life,NE,241.46,250000,2025-07-21,Lapsed,AGT-418,2026-04-19T06:51:59.625232
POL-000142,CUST-1224,Universal Life,IL,556.73,100000,2023-01-19,Pending,AGT-220,2026-04-19T06:51:59.625260
POL-000143,CUST-3522,Universal Life,RI,4670.0,500000,2022-02-04,Cancelled,AGT-525,2026-04-19T06:51:59.625285
POL-000144,CUST-8905,Universal Life,AS,1294.28,250000,2022-05-22,Pending,AGT-295,2026-04-19T06:51:59.625309
POL-000145,CUST-9327,Whole Life,KS,4333.73,500000,2024-08-02,Pending,AGT-448,2026-04-19T06:51:59.625332
POL-000146,CUST-9318,Annuity,AK,4120.69,500000,2025-12-23,Cancelled,AGT-957,2026-04-19T06:51:59.625357
POL-000147,CUST-9022,Whole Life,LA,2288.08,1000000,2022-11-21,Cancelled,AGT-440,2026-04-19T06:51:59.625373
POL-000148,CUST-9903,Universal Life,IN,2331.19,500000,2022-07-03,Lapsed,AGT-814,2026-04-19T06:51:59.625388
POL-000149,CUST-4912,Universal Life,GU,1244.46,1000000,2024-07-11,Active,AGT-425,2026-04-19T06:51:59.625404
POL-000150,CUST-8749,Universal Life,ID,1991.79,250000,2025-12-07,Pending,AGT-137,2026-04-19T06:51:59.625424
POL-000151,CUST-3068,Annuity,AK,4361.53,1000000,2024-02-20,Active,AGT-638,2026-04-19T06:51:59.625438
POL-000152,CUST-8486,Term Life,IA,3639.97,1000000,2023-04-26,Lapsed,AGT-176,2026-04-19T06:51:59.625453
POL-000153,CUST-8692,Annuity,HI,1758.95,1000000,2024-07-10,Active,AGT-972,2026-04-19T06:51:59.625469
POL-000154,CUST-6383,Universal Life,PA,4775.28,1000000,2022-03-18,Active,AGT-732,2026-04-19T06:51:59.625484
POL-000155,CUST-2121,Whole Life,KY,3192.69,500000,2024-04-21,Lapsed,AGT-864,2026-04-19T06:51:59.625498
POL-000156,CUST-2480,Universal Life,MN,4893.85,100000,2025-06-03,Pending,AGT-270,2026-04-19T06:51:59.625513
POL-000157,CUST-5906,Term Life,NE,325.36,100000,2022-07-12,Cancelled,AGT-467,2026-04-19T06:51:59.625528
POL-000158,CUST-7141,Universal Life,WA,813.29,1000000,2022-08-09,Lapsed,AGT-274,2026-04-19T06:51:59.625543
POL-000159,CUST-3868,Term Life,NC,3086.51,1000000,2023-04-07,Lapsed,AGT-609,2026-04-19T06:51:59.625557
POL-000160,CUST-3344,Whole Life,MA,2359.63,500000,2026-02-25,Pending,AGT-361,2026-04-19T06:51:59.625572
POL-000161,CUST-1153,Universal Life,IL,4515.93,250000,2023-10-11,Active,AGT-552,2026-04-19T06:51:59.625586
POL-000162,CUST-6661,Annuity,OH,3230.8,1000000,2025-07-04,Cancelled,AGT-567,2026-04-19T06:51:59.625601
POL-000163,CUST-5949,Whole Life,MN,4996.93,1000000,2023-12-07,Active,AGT-342,2026-04-19T06:51:59.625615
POL-000164,CUST-7248,Annuity,AZ,2916.58,500000,2024-12-14,Active,AGT-949,2026-04-19T06:51:59.625629
POL-000165,CUST-7484,Annuity,TX,139.68,100000,2023-10-10,Pending,AGT-952,2026-04-19T06:51:59.625643
POL-000166,CUST-5689,Whole Life,TN,3074.62,500000,2024-08-13,Lapsed,AGT-751,2026-04-19T06:51:59.625662
POL-000167,CUST-4115,Annuity,WY,3421.05,250000,2021-07-15,Active,AGT-742,2026-04-19T06:51:59.625678
POL-000168,CUST-1645,Annuity,SC,3964.19,100000,2022-09-04,Cancelled,AGT-849,2026-04-19T06:51:59.625693
POL-000169,CUST-3153,Term Life,OR,4557.18,500000,2021-05-31,Pending,AGT-279,2026-04-19T06:51:59.625707
POL-000170,CUST-4289,Whole Life,PR,3953.91,500000,2025-04-20,Cancelled,AGT-950,2026-04-19T06:51:59.625724
POL-000171,CUST-3695,Annuity,AZ,4578.84,1000000,2024-11-06,Cancelled,AGT-864,2026-04-19T06:51:59.625738
POL-000172,CUST-6549,Term Life,SC,2394.82,100000,2025-07-01,Lapsed,AGT-872,2026-04-19T06:51:59.625753
POL-000173,CUST-4696,Universal Life,DC,4839.62,500000,2022-11-04,Active,AGT-909,2026-04-19T06:51:59.625768
POL-000174,CUST-7464,Term Life,MI,1395.85,100000,2024-06-26,Pending,AGT-477,2026-04-19T06:51:59.625783
POL-000175,CUST-5295,Universal Life,WV,4129.84,500000,2022-06-25,Active,AGT-791,2026-04-19T06:51:59.625797
POL-000176,CUST-4830,Universal Life,CO,222.62,500000,2026-01-03,Lapsed,AGT-763,2026-04-19T06:51:59.625812
POL-000177,CUST-2035,Universal Life,AS,4556.0,500000,2024-03-01,Pending,AGT-219,2026-04-19T06:51:59.625827
POL-000178,CUST-3290,Term Life,KS,4736.68,500000,2024-04-18,Pending,AGT-218,2026-04-19T06:51:59.625841
POL-000179,CUST-2592,Whole Life,NM,4447.57,250000,2024-09-11,Pending,AGT-564,2026-04-19T06:51:59.625856
POL-000180,CUST-7078,Universal Life,IA,2977.97,250000,2023-11-08,Pending,AGT-770,2026-04-19T06:51:59.625873
POL-000181,CUST-2622,Universal Life,ME,3116.7,500000,2023-08-03,Active,AGT-806,2026-04-19T06:51:59.625890
POL-000182,CUST-7070,Whole Life,IN,2272.58,250000,2025-01-30,Cancelled,AGT-201,2026-04-19T06:51:59.625905
POL-000183,CUST-7018,Annuity,VT,396.7,500000,2025-01-29,Lapsed,AGT-225,2026-04-19T06:51:59.625920
POL-000184,CUST-8450,Term Life,UT,3347.57,100000,2023-08-25,Active,AGT-905,2026-04-19T06:51:59.625934
POL-000185,CUST-6464,Whole Life,MA,4945.22,250000,2024-10-16,Active,AGT-949,2026-04-19T06:51:59.625948
POL-000186,CUST-4394,Whole Life,IN,4083.96,250000,2024-03-23,Cancelled,AGT-892,2026-04-19T06:51:59.625963
POL-000187,CUST-3417,Term Life,AL,1458.65,250000,2023-06-03,Lapsed,AGT-653,2026-04-19T06:51:59.625980
POL-000188,CUST-5106,Whole Life,SC,638.64,100000,2025-02-20,Lapsed,AGT-115,2026-04-19T06:51:59.625997
POL-000189,CUST-6869,Whole Life,MT,2985.38,100000,2022-03-06,Lapsed,AGT-371,2026-04-19T06:51:59.626014
POL-000190,CUST-1858,Whole Life,MI,3734.42,100000,2021-05-06,Active,AGT-587,2026-04-19T06:51:59.626029
POL-000191,CUST-8344,Annuity,AK,2614.87,100000,2022-03-23,Pending,AGT-615,2026-04-19T06:51:59.626044
POL-000192,CUST-4629,Term Life,SD,3663.49,500000,2025-09-18,Pending,AGT-758,2026-04-19T06:51:59.626059
POL-000193,CUST-1510,Term Life,AK,4993.08,1000000,2023-05-10,Pending,AGT-802,2026-04-19T06:51:59.626074
POL-000194,CUST-2768,Universal Life,AS,3590.77,1000000,2021-04-30,Active,AGT-182,2026-04-19T06:51:59.626089
POL-000195,CUST-6277,Whole Life,NE,421.84,500000,2023-10-22,Cancelled,AGT-490,2026-04-19T06:51:59.626104
POL-000196,CUST-9692,Annuity,AK,2323.21,1000000,2022-04-03,Active,AGT-912,2026-04-19T06:51:59.626156
POL-000197,CUST-2874,Whole Life,ND,2207.34,250000,2023-09-09,Pending,AGT-447,2026-04-19T06:51:59.626184
POL-000198,CUST-8430,Universal Life,KS,2138.35,100000,2024-08-22,Cancelled,AGT-537,2026-04-19T06:51:59.626203
POL-000199,CUST-6120,Annuity,AZ,1934.08,250000,2024-02-02,Pending,AGT-168,2026-04-19T06:51:59.626220
POL-000200,CUST-2494,Term Life,AZ,556.83,100000,2023-01-22,Cancelled,AGT-931,2026-04-19T06:51:59.626237
POL-000201,CUST-3131,Term Life,OH,2973.68,500000,2022-07-30,Active,AGT-520,2026-04-19T06:51:59.626253
POL-000202,CUST-6793,Universal Life,PA,4353.65,100000,2023-06-27,Cancelled,AGT-714,2026-04-19T06:51:59.626268
POL-000203,CUST-6119,Annuity,VA,607.64,250000,2022-04-03,Lapsed,AGT-772,2026-04-19T06:51:59.626283
POL-000204,CUST-8900,Whole Life,CA,4251.65,500000,2026-01-06,Cancelled,AGT-217,2026-04-19T06:51:59.626298
POL-000205,CUST-5564,Whole Life,TX,4055.38,100000,2022-12-29,Cancelled,AGT-129,2026-04-19T06:51:59.626313
POL-000206,CUST-3955,Annuity,GU,3543.22,500000,2023-07-24,Cancelled,AGT-459,2026-04-19T06:51:59.626330
POL-000207,CUST-1100,Whole Life,NM,4362.33,1000000,2022-09-07,Active,AGT-245,2026-04-19T06:51:59.626345
POL-000208,CUST-1502,Term Life,FM,3755.95,250000,2022-04-25,Pending,AGT-529,2026-04-19T06:51:59.626361
POL-000209,CUST-8432,Annuity,KS,871.31,500000,2023-07-12,Cancelled,AGT-895,2026-04-19T06:51:59.626375
POL-000210,CUST-2391,Term Life,NM,862.34,100000,2026-01-27,Active,AGT-378,2026-04-19T06:51:59.626390
POL-000211,CUST-8259,Universal Life,AL,2479.74,1000000,2022-06-19,Pending,AGT-379,2026-04-19T06:51:59.626407
POL-000212,CUST-4531,Term Life,MS,1791.35,100000,2026-04-13,Cancelled,AGT-794,2026-04-19T06:51:59.626421
POL-000213,CUST-8972,Annuity,PR,322.55,1000000,2023-12-29,Active,AGT-107,2026-04-19T06:51:59.626436
POL-000214,CUST-4349,Annuity,VA,4732.09,250000,2022-01-22,Cancelled,AGT-396,2026-04-19T06:51:59.626451
POL-000215,CUST-6375,Term Life,KY,137.88,1000000,2026-03-03,Lapsed,AGT-232,2026-04-19T06:51:59.626466
POL-000216,CUST-7229,Whole Life,CA,2551.29,500000,2026-03-05,Active,AGT-506,2026-04-19T06:51:59.626481
POL-000217,CUST-1693,Universal Life,VA,191.83,100000,2023-10-16,Cancelled,AGT-689,2026-04-19T06:51:59.626495
POL-000218,CUST-8033,Universal Life,ID,3576.54,1000000,2026-02-02,Cancelled,AGT-217,2026-04-19T06:51:59.626510
